timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,0,-1,-0.0,0.16,4,0.16,0,0
2,0,-1,-0.0,0.16,4,0.16,0,0
3,2,1,-4.1406527,0.2,5,0.2,0,0
4,2,1,-4.2792473,0.24,6,0.24,0,0
5,2,1,-4.516412,0.28,7,0.28,0,0
6,1,0,0.0,0.28,7,0.28,0,0
7,1,0,0.0,0.28,7,0.28,0,0
8,2,1,-4.8479652,0.32,8,0.32,0,0
9,2,1,27.225174,0.36,9,0.36,0,0
10,2,1,25.459835,0.4,10,0.4,0,0
11,0,-1,5.829622,0.36,9,0.36,0,0
12,0,-1,-0.0,0.36,9,0.36,0,0
13,1,0,0.0,0.36,9,0.36,0,0
14,0,-1,5.2804785,0.32,8,0.32,0,0
15,0,-1,-26.441492,0.28,7,0.28,0,0
16,2,1,-4.8479652,0.32,8,0.32,0,0
17,2,1,-5.280483,0.36,9,0.36,0,0
18,1,0,0.0,0.36,9,0.36,0,0
19,2,1,-5.8296275,0.4,10,0.4,0,0
20,2,1,-6.520815,0.44,11,0.44,0,0
21,0,-1,-0.0,0.44,11,0.44,0,0
22,0,-1,-0.0,0.44,11,0.44,0,0
23,0,-1,-0.0,0.44,11,0.44,0,0
24,0,-1,-0.0,0.44,11,0.44,0,0
25,0,-1,-0.0,0.44,11,0.44,0,0
26,1,0,0.0,0.44,11,0.44,0,0
27,1,0,0.0,0.44,11,0.44,0,0
28,2,1,-7.391896,0.48,12,0.48,0,0
29,1,0,0.0,0.48,12,0.48,0,0
30,0,-1,-25.113762,0.44,11,0.44,0,0
31,1,0,0.0,0.44,11,0.44,0,0
32,1,0,0.0,0.44,11,0.44,0,0
33,1,0,0.0,0.44,11,0.44,0,0
34,2,1,-7.3913045,0.48,12,0.48,0,0
35,0,-1,-0.0,0.48,12,0.48,0,0
36,0,-1,-0.0,0.48,12,0.48,0,0
37,1,0,0.0,0.48,12,0.48,0,0
38,0,-1,7.391896,0.44,11,0.44,0,0
39,2,1,25.096035,0.48,12,0.48,0,0
40,1,0,0.0,0.48,12,0.48,0,0
41,0,-1,-0.0,0.48,12,0.48,0,0
42,2,1,-8.498313,0.52,13,0.52,0,0
43,2,1,-9.922016,0.56,14,0.56,0,0
44,1,0,0.0,0.56,14,0.56,0,0
45,2,1,-11.786916,0.6,15,0.6,0,0
46,0,-1,11.786916,0.56,14,0.56,0,0
47,1,0,0.0,0.56,14,0.56,0,0
48,1,0,0.0,0.56,14,0.56,0,0
49,0,-1,9.922016,0.52,13,0.52,0,0
50,2,1,-9.92201,0.56,14,0.56,0,0
51,1,0,0.0,0.56,14,0.56,0,0
52,2,1,-11.786878,0.6,15,0.6,0,0
53,0,-1,-20.701015,0.56,14,0.56,0,0
54,0,-1,-0.0,0.56,14,0.56,0,0
55,2,1,-11.786915,0.6,15,0.6,0,0
56,0,-1,-0.0,0.6,15,0.6,0,0
57,0,-1,-0.0,0.6,15,0.6,0,0
58,1,0,0.0,0.6,15,0.6,0,0
59,0,-1,11.786878,0.56,14,0.56,0,0
60,1,0,0.0,0.56,14,0.56,0,0
61,1,0,0.0,0.56,14,0.56,0,0
62,2,1,-11.786916,0.6,15,0.6,0,0
63,2,1,-14.286361,0.64,16,0.64,0,0
64,2,1,-17.735903,0.68,17,0.68,0,0
65,2,1,-22.67583,0.72,18,0.72,0,0
66,0,-1,-100.0,0.0,0,0.0,0,0
67,0,-1,-0.0,0.16,4,0.16,0,1
68,0,-1,-0.0,0.16,4,0.16,0,1
69,0,-1,-0.0,0.16,4,0.16,0,1
70,1,0,0.0,0.16,4,0.16,0,1
71,0,-1,-0.0,0.16,4,0.16,0,1
72,0,-1,-0.0,0.16,4,0.16,0,1
73,0,-1,-0.0,0.16,4,0.16,0,1
74,1,0,0.0,0.16,4,0.16,0,1
75,2,1,28.364332,0.2,5,0.2,0,1
76,2,1,-4.278605,0.24,6,0.24,0,1
77,1,0,0.0,0.24,6,0.24,0,1
78,1,0,0.0,0.24,6,0.24,0,1
79,2,1,27.971514,0.28,7,0.28,0,1
80,0,-1,-27.98924,0.24,6,0.24,0,1
81,1,0,0.0,0.24,6,0.24,0,1
82,1,0,0.0,0.24,6,0.24,0,1
83,2,1,26.767761,0.28,7,0.28,0,1
84,1,0,0.0,0.28,7,0.28,0,1
85,2,1,-4.847804,0.32,8,0.32,0,1
86,0,-1,-0.0,0.32,8,0.32,0,1
87,2,1,22.976604,0.36,9,0.36,0,1
88,0,-1,-0.0,0.36,9,0.36,0,1
89,2,1,20.174376,0.4,10,0.4,0,1
90,1,0,0.0,0.4,10,0.4,0,1
91,0,-1,-0.0,0.4,10,0.4,0,1
92,2,1,-6.520784,0.44,11,0.44,0,1
93,0,-1,-24.763365,0.4,10,0.4,0,1
94,2,1,25.984842,0.44,11,0.44,0,1
95,1,0,0.0,0.44,11,0.44,0,1
96,2,1,16.846882,0.48,12,0.48,1,1
97,0,-1,-16.333055,0.44,11,0.44,0,1
98,2,1,23.903444,0.48,12,0.48,0,1
99,0,-1,-23.903444,0.44,11,0.44,0,1
100,0,-1,-8.366615,0.4,10,0.4,0,1
101,1,0,0.0,0.4,10,0.4,0,1
102,2,1,14.297004,0.44,11,0.44,0,1
103,2,1,11.012239,0.48,12,0.48,0,1
104,2,1,5.125687,0.52,13,0.52,0,1
105,1,0,0.0,0.52,13,0.52,0,1
106,0,-1,-0.0,0.52,13,0.52,0,1
107,1,0,0.0,0.52,13,0.52,0,1
108,0,-1,-5.125687,0.48,12,0.48,0,1
109,1,0,0.0,0.48,12,0.48,0,1
