episode,total_reward,length,termination_reason,final_element_count,final_resource_usage,refine_count,coarsen_count,no_change_count,refine_pct,coarsen_pct,no_change_pct
1,-1064.161141,90,Budget exceeded,0,0,30,25,35,0.3333333333333333,0.2777777777777778,0.3888888888888889
2,-794.180393,50,Budget exceeded,0,0,25,10,15,0.5,0.2,0.3
3,-827.204481,42,Budget exceeded,0,0,26,6,10,0.6190476190476191,0.14285714285714285,0.23809523809523808
4,-1058.496741,32,Budget exceeded,0,0,21,2,9,0.65625,0.0625,0.28125
5,-1008.086546,54,Budget exceeded,0,0,31,12,11,0.5740740740740741,0.2222222222222222,0.2037037037037037
6,-1076.701052,45,Budget exceeded,0,0,25,12,8,0.5555555555555556,0.26666666666666666,0.17777777777777778
7,-961.128666,33,Budget exceeded,0,0,26,3,4,0.7878787878787878,0.09090909090909091,0.12121212121212122
8,-1059.879921,57,Budget exceeded,0,0,30,16,11,0.5263157894736842,0.2807017543859649,0.19298245614035087
9,-793.834954,38,Budget exceeded,0,0,25,4,9,0.6578947368421053,0.10526315789473684,0.23684210526315788
10,-965.862606,32,Budget exceeded,0,0,21,1,10,0.65625,0.03125,0.3125
11,-974.314277,49,Budget exceeded,0,0,27,7,15,0.5510204081632653,0.14285714285714285,0.30612244897959184
12,-920.250522,41,Budget exceeded,0,0,25,10,6,0.6097560975609756,0.24390243902439024,0.14634146341463414
13,-960.169089,59,Budget exceeded,0,0,29,11,19,0.4915254237288136,0.1864406779661017,0.3220338983050847
14,-814.561826,34,Budget exceeded,0,0,24,5,5,0.7058823529411765,0.14705882352941177,0.14705882352941177
15,-963.077319,31,Budget exceeded,0,0,21,3,7,0.6774193548387096,0.0967741935483871,0.22580645161290322
16,-791.262458,36,Budget exceeded,0,0,22,4,10,0.6111111111111112,0.1111111111111111,0.2777777777777778
17,-997.823325,38,Budget exceeded,0,0,22,6,10,0.5789473684210527,0.15789473684210525,0.2631578947368421
18,-1042.593706,51,Budget exceeded,0,0,29,5,17,0.5686274509803921,0.09803921568627451,0.3333333333333333
19,-949.884198,46,Budget exceeded,0,0,25,4,17,0.5434782608695652,0.08695652173913043,0.3695652173913043
20,-888.786684,58,Budget exceeded,0,0,30,9,19,0.5172413793103449,0.15517241379310345,0.3275862068965517
21,-740.296793,54,Budget exceeded,0,0,25,9,20,0.46296296296296297,0.16666666666666666,0.37037037037037035
22,-952.999743,54,Budget exceeded,0,0,24,10,20,0.4444444444444444,0.18518518518518517,0.37037037037037035
23,-1180.052776,76,Budget exceeded,0,0,31,17,28,0.40789473684210525,0.2236842105263158,0.3684210526315789
24,-849.343152,34,Budget exceeded,0,0,21,4,9,0.6176470588235294,0.11764705882352941,0.2647058823529412
25,-1023.01474,65,Budget exceeded,0,0,29,14,22,0.4461538461538462,0.2153846153846154,0.3384615384615385
26,-1028.702359,53,Budget exceeded,0,0,24,10,19,0.4528301886792453,0.18867924528301888,0.3584905660377358
27,-1066.608354,70,Budget exceeded,0,0,34,16,20,0.4857142857142857,0.22857142857142856,0.2857142857142857
28,-796.821031,66,Budget exceeded,0,0,32,11,23,0.48484848484848486,0.16666666666666666,0.3484848484848485
29,-916.914427,69,Budget exceeded,0,0,32,15,22,0.463768115942029,0.21739130434782608,0.3188405797101449
30,-1084.108866,59,Budget exceeded,0,0,30,13,16,0.5084745762711864,0.22033898305084745,0.2711864406779661
31,-840.091394,59,Budget exceeded,0,0,30,10,19,0.5084745762711864,0.1694915254237288,0.3220338983050847
32,-868.287099,51,Budget exceeded,0,0,24,4,23,0.47058823529411764,0.0784313725490196,0.45098039215686275
33,-1061.503171,61,Budget exceeded,0,0,25,10,26,0.4098360655737705,0.16393442622950818,0.4262295081967213
