episode,total_reward,length,termination_reason,final_element_count,final_resource_usage,refine_count,coarsen_count,no_change_count,refine_pct,coarsen_pct,no_change_pct,refinement_mode,refinement_level,refinement_probability,initial_elements,initial_resource_usage,element_growth_ratio
1,-1892.5903843343258,40,Budget exceeded (post-adapt),0,0,17,10,13,0.425,0.25,0.325,,,,,,
2,-822.0476654531326,101,Budget exceeded (pre-action),0,0,27,38,36,0.26732673267326734,0.37623762376237624,0.3564356435643564,,,,,,
3,-730.5148520961229,108,Budget exceeded (pre-action),0,0,30,46,32,0.2777777777777778,0.42592592592592593,0.2962962962962963,,,,,,
4,-1370.3944721284183,38,Budget exceeded (post-adapt),0,0,14,17,7,0.3684210526315789,0.4473684210526316,0.18421052631578946,,,,,,
5,-1782.1103650143666,59,Budget exceeded (post-adapt),0,0,20,15,24,0.3389830508474576,0.2542372881355932,0.4067796610169492,,,,,,
6,-1913.0892326350877,24,Budget exceeded (post-adapt),0,0,11,6,7,0.4583333333333333,0.25,0.2916666666666667,,,,,,
7,-331.1440561655327,104,Budget exceeded (pre-action),0,0,28,42,34,0.2692307692307692,0.40384615384615385,0.3269230769230769,,,,,,
8,-1223.9639898836613,24,Budget exceeded (pre-action),0,0,12,9,3,0.5,0.375,0.125,,,,,,
9,-1718.9053165658697,87,Budget exceeded (post-adapt),0,0,26,35,26,0.2988505747126437,0.40229885057471265,0.2988505747126437,,,,,,
10,-1743.9916650112543,80,Budget exceeded (pre-action),0,0,25,36,19,0.3125,0.45,0.2375,,,,,,
11,-1680.2748574012082,126,Budget exceeded (post-adapt),0,0,33,53,40,0.2619047619047619,0.42063492063492064,0.31746031746031744,,,,,,
12,-1603.7920584570056,112,Budget exceeded (pre-action),0,0,34,44,34,0.30357142857142855,0.39285714285714285,0.30357142857142855,,,,,,
13,-1260.827787823975,40,Budget exceeded (pre-action),0,0,19,8,13,0.475,0.2,0.325,,,,,,
14,-969.2999567463994,58,Budget exceeded (pre-action),0,0,20,20,18,0.3448275862068966,0.3448275862068966,0.3103448275862069,,,,,,
15,-1175.1850842641434,35,Budget exceeded (pre-action),0,0,16,7,12,0.45714285714285713,0.2,0.34285714285714286,,,,,,
16,-1045.5303000461863,70,Budget exceeded (pre-action),0,0,22,26,22,0.3142857142857143,0.37142857142857144,0.3142857142857143,,,,,,
17,-1905.1438320577145,58,Budget exceeded (post-adapt),0,0,19,16,23,0.3275862068965517,0.27586206896551724,0.39655172413793105,,,,,,
18,-1657.7329145616532,71,Budget exceeded (pre-action),0,0,23,24,24,0.323943661971831,0.3380281690140845,0.3380281690140845,,,,,,
19,-1333.4573615826666,41,Budget exceeded (post-adapt),0,0,14,13,14,0.34146341463414637,0.3170731707317073,0.34146341463414637,,,,,,
20,-941.6390152979293,44,Budget exceeded (post-adapt),0,0,17,12,15,0.38636363636363635,0.2727272727272727,0.3409090909090909,,,,,,
21,-1567.9071081206203,52,Budget exceeded (pre-action),0,0,18,16,18,0.34615384615384615,0.3076923076923077,0.34615384615384615,,,,,,
22,-1307.0724767080824,47,Budget exceeded (pre-action),0,0,15,15,17,0.3191489361702128,0.3191489361702128,0.3617021276595745,,,,,,
23,-1705.3644652366638,30,Budget exceeded (pre-action),0,0,14,7,9,0.4666666666666667,0.23333333333333334,0.3,,,,,,
24,-1231.8631956474856,40,Budget exceeded (pre-action),0,0,17,12,11,0.425,0.3,0.275,,,,,,
25,-1024.5637999102473,72,Budget exceeded (post-adapt),0,0,23,27,22,0.3194444444444444,0.375,0.3055555555555556,,,,,,
26,-1294.665056387666,74,Budget exceeded (pre-action),0,0,22,26,26,0.2972972972972973,0.35135135135135137,0.35135135135135137,,,,,,
27,-1763.3000482191565,54,Budget exceeded (pre-action),0,0,20,19,15,0.37037037037037035,0.35185185185185186,0.2777777777777778,,,,,,
28,-1306.0547267720103,34,Budget exceeded (pre-action),0,0,14,12,8,0.4117647058823529,0.35294117647058826,0.23529411764705882,,,,,,
29,-1778.9812368529142,91,Budget exceeded (post-adapt),0,0,25,29,37,0.27472527472527475,0.31868131868131866,0.4065934065934066,,,,,,
30,-1842.1539068236016,44,Budget exceeded (post-adapt),0,0,15,17,12,0.3409090909090909,0.38636363636363635,0.2727272727272727,,,,,,
31,-957.1401580423117,63,Budget exceeded (pre-action),0,0,23,16,24,0.36507936507936506,0.25396825396825395,0.38095238095238093,,,,,,
32,-1181.8167796301423,35,Budget exceeded (post-adapt),0,0,14,14,7,0.4,0.4,0.2,,,,,,
