timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,0,-1,-0.0,0.16,4,0.16,0,0
2,2,1,-4.1406527,0.2,5,0.2,0,0
3,1,0,0.0,0.2,5,0.2,0,0
4,1,0,0.0,0.2,5,0.2,0,0
5,1,0,0.0,0.2,5,0.2,0,0
6,1,0,0.0,0.2,5,0.2,0,0
7,1,0,0.0,0.2,5,0.2,0,0
8,0,-1,-0.0,0.2,5,0.2,0,0
9,2,1,28.208652,0.24,6,0.24,0,0
10,1,0,0.0,0.24,6,0.24,0,0
11,0,-1,-0.0,0.24,6,0.24,0,0
12,0,-1,-0.0,0.24,6,0.24,0,0
13,1,0,0.0,0.24,6,0.24,0,0
14,2,1,27.98924,0.28,7,0.28,0,0
15,1,0,0.0,0.28,7,0.28,0,0
16,1,0,0.0,0.28,7,0.28,0,0
17,2,1,-4.847379,0.32,8,0.32,0,0
18,1,0,0.0,0.32,8,0.32,0,0
19,0,-1,4.847379,0.28,7,0.28,0,0
20,1,0,0.0,0.28,7,0.28,0,0
21,2,1,-4.847804,0.32,8,0.32,0,0
22,0,-1,-0.0,0.32,8,0.32,0,0
23,0,-1,-0.0,0.32,8,0.32,0,0
24,1,0,0.0,0.32,8,0.32,0,0
25,1,0,0.0,0.32,8,0.32,0,0
26,1,0,0.0,0.32,8,0.32,0,0
27,1,0,0.0,0.32,8,0.32,0,0
28,0,-1,-0.2743589,0.32,8,0.32,0,0
29,2,1,22.762478,0.36,9,0.36,0,0
30,0,-1,5.280317,0.32,8,0.32,0,0
31,2,1,26.008978,0.36,9,0.36,0,0
32,1,0,0.0,0.36,9,0.36,0,0
33,1,0,0.0,0.36,9,0.36,0,0
34,0,-1,-0.0,0.36,9,0.36,0,0
35,0,-1,-22.762478,0.32,8,0.32,0,0
36,0,-1,-0.0,0.32,8,0.32,0,0
37,0,-1,4.847297,0.28,7,0.28,0,0
38,1,0,0.0,0.28,7,0.28,0,0
39,1,0,0.0,0.28,7,0.28,0,0
40,1,0,0.0,0.28,7,0.28,0,0
41,0,-1,-0.0,0.28,7,0.28,0,0
42,2,1,18.128635,0.36,9,0.36,0,0
43,0,-1,-26.008978,0.32,8,0.32,0,0
44,1,0,0.0,0.32,8,0.32,0,0
45,0,-1,-0.0,0.32,8,0.32,0,0
46,0,-1,-0.0,0.32,8,0.32,0,0
47,0,-1,-0.0,0.32,8,0.32,0,0
48,2,1,-5.2804456,0.36,9,0.36,0,0
49,1,0,0.0,0.36,9,0.36,0,0
50,0,-1,-27.225174,0.32,8,0.32,0,0
51,1,0,0.0,0.32,8,0.32,0,0
52,1,0,0.0,0.32,8,0.32,0,0
53,0,-1,-23.409119,0.28,7,0.28,0,0
54,0,-1,-27.971514,0.24,6,0.24,0,0
55,2,1,27.971514,0.28,7,0.28,0,0
56,2,1,23.409119,0.32,8,0.32,1,0
57,0,-1,-7.0754695,0.28,7,0.28,0,0
58,0,-1,-23.744728,0.24,6,0.24,0,0
59,2,1,13.9516115,0.28,7,0.28,0,0
60,0,-1,-7.410319,0.24,6,0.24,0,0
61,1,0,0.0,0.24,6,0.24,0,0
62,0,-1,-0.0,0.24,6,0.24,0,0
63,2,1,11.87236,0.28,7,0.28,0,0
64,0,-1,-27.969946,0.24,6,0.24,0,0
65,0,-1,-0.0,0.24,6,0.24,0,0
66,2,1,10.445432,0.28,7,0.28,0,0
67,1,0,0.0,0.28,7,0.28,0,0
68,1,0,0.0,0.28,7,0.28,0,0
69,2,1,27.638393,0.32,8,0.32,0,0
70,0,-1,-10.113879,0.28,7,0.28,0,0
71,0,-1,-0.0,0.28,7,0.28,0,0
72,1,0,0.0,0.28,7,0.28,0,0
73,0,-1,-0.0,0.28,7,0.28,0,0
74,2,1,10.028101,0.44,11,0.44,0,0
75,1,0,0.0,0.44,11,0.44,0,0
76,1,0,0.0,0.44,11,0.44,0,0
77,1,0,0.0,0.44,11,0.44,0,0
78,2,1,23.899183,0.48,12,0.48,0,0
79,2,1,6.463537,0.52,13,0.52,0,0
80,0,-1,-5.282175,0.48,12,0.48,0,0
81,1,0,0.0,0.48,12,0.48,0,0
82,1,0,0.0,0.48,12,0.48,0,0
83,0,-1,-0.0,0.48,12,0.48,0,0
84,1,0,0.0,0.48,12,0.48,0,0
85,2,1,0.13589466,0.52,13,0.52,0,0
86,0,-1,-0.0,0.52,13,0.52,0,0
87,2,1,-12.335506,0.6,15,0.6,0,0
88,0,-1,-0.19693808,0.6,15,0.6,0,0
89,2,1,-0.96077996,0.64,16,0.64,0,0
90,2,1,-41.517666,0.76,19,0.76,0,0
91,0,-1,24.07063,0.72,18,0.72,0,0
92,2,1,-45.343895,0.8,20,0.8,0,0
93,0,-1,-0.0,0.8,20,0.8,0,0
94,2,1,-36.200066,0.84,21,0.84,0,0
95,2,1,31.471365,1.0,25,1.0,0,0
96,0,-1,-1000.0,0.0,0,0.0,0,0
97,1,0,0.0,0.16,4,0.16,0,1
98,0,-1,-0.0,0.16,4,0.16,0,1
99,1,0,0.0,0.16,4,0.16,0,1
100,2,1,-4.1406527,0.2,5,0.2,0,1
101,2,1,-4.278687,0.24,6,0.24,0,1
102,0,-1,4.278605,0.2,5,0.2,0,1
103,1,0,0.0,0.2,5,0.2,0,1
104,2,1,23.692236,0.28,7,0.28,0,1
105,2,1,22.635555,0.36,9,0.36,0,1
106,1,0,0.0,0.36,9,0.36,0,1
107,2,1,-5.828954,0.4,10,0.4,0,1
108,2,1,-13.912667,0.48,12,0.48,0,1
109,0,-1,-23.892282,0.44,11,0.44,0,1
110,1,0,0.0,0.44,11,0.44,0,1
111,0,-1,6.520809,0.4,10,0.4,0,1
112,1,0,0.0,0.4,10,0.4,0,1
113,1,0,0.0,0.4,10,0.4,0,1
114,1,0,0.0,0.4,10,0.4,0,1
115,1,0,0.0,0.4,10,0.4,0,1
116,1,0,0.0,0.4,10,0.4,0,1
117,1,0,0.0,0.4,10,0.4,0,1
118,2,1,-6.5206485,0.44,11,0.44,0,1
119,2,1,23.897566,0.48,12,0.48,0,1
120,2,1,9.83676,0.56,14,0.56,0,1
121,1,0,0.0,0.56,14,0.56,0,1
122,2,1,1.9695174,0.64,16,0.64,0,1
123,2,1,-13.80272,0.72,18,0.72,0,1
124,1,0,0.0,0.72,18,0.72,0,1
125,0,-1,-0.0,0.72,18,0.72,0,1
126,2,1,-72.08388,0.8,20,0.8,0,1
127,2,1,-31.520004,0.84,21,0.84,0,1
128,0,-1,62.804146,0.8,20,0.8,0,1
129,1,0,0.0,0.8,20,0.8,0,1
130,0,-1,-0.0,0.8,20,0.8,0,1
131,1,0,0.0,0.8,20,0.8,0,1
132,0,-1,41.98597,0.76,19,0.76,0,1
133,2,1,-41.98597,0.8,20,0.8,0,1
134,0,-1,-0.0017764482,0.8,20,0.8,0,1
135,1,0,0.0,0.8,20,0.8,0,1
136,0,-1,41.985844,0.76,19,0.76,0,1
137,1,0,0.0,0.76,19,0.76,0,1
138,2,1,-104.790184,0.84,21,0.84,0,1
139,1,0,0.0,0.84,21,0.84,0,1
140,2,1,-104.45699,0.88,22,0.88,0,1
141,2,1,-208.61096,0.92,23,0.92,0,1
142,1,0,0.0,0.92,23,0.92,0,1
143,1,0,0.0,0.92,23,0.92,0,1
144,1,0,0.0,0.92,23,0.92,0,1
145,2,1,-596.76855,0.96,24,0.96,0,1
146,0,-1,-0.0,0.96,24,0.96,0,1
147,1,0,0.0,0.96,24,0.96,0,1
148,2,1,6.1607807e-07,1.0,25,1.0,0,1
149,2,1,-1000.0,0.0,0,0.0,0,1
150,2,1,-4.1406527,0.2,5,0.2,0,2
151,0,-1,-0.0,0.2,5,0.2,0,2
152,2,1,23.70996,0.28,7,0.28,0,2
153,1,0,0.0,0.28,7,0.28,0,2
154,1,0,0.0,0.28,7,0.28,0,2
155,1,0,0.0,0.28,7,0.28,0,2
156,0,-1,-0.2743589,0.28,7,0.28,0,2
157,2,1,17.914507,0.36,9,0.36,0,2
158,0,-1,-0.0,0.36,9,0.36,0,2
159,1,0,0.0,0.36,9,0.36,0,2
160,0,-1,-0.0,0.36,9,0.36,0,2
161,1,0,0.0,0.36,9,0.36,0,2
162,1,0,0.0,0.36,9,0.36,0,2
163,2,1,13.010574,0.48,12,0.48,0,2
164,0,-1,-18.748446,0.44,11,0.44,0,2
165,1,0,0.0,0.44,11,0.44,0,2
166,2,1,12.366879,0.52,13,0.52,0,2
167,1,0,0.0,0.52,13,0.52,0,2
168,1,0,0.0,0.52,13,0.52,0,2
169,2,1,4.8523736,0.6,15,0.6,0,2
170,1,0,0.0,0.6,15,0.6,0,2
171,0,-1,11.786878,0.56,14,0.56,0,2
172,2,1,-11.786884,0.6,15,0.6,0,2
173,1,0,0.0,0.6,15,0.6,0,2
174,1,0,0.0,0.6,15,0.6,0,2
175,2,1,14.2147665,0.64,16,0.64,0,2
176,2,1,-40.411728,0.72,18,0.72,0,2
177,2,1,-30.097902,0.76,19,0.76,0,2
178,1,0,0.0,0.76,19,0.76,0,2
179,2,1,-41.986008,0.8,20,0.8,0,2
180,0,-1,41.985977,0.76,19,0.76,0,2
181,0,-1,1.5966138,0.72,18,0.72,0,2
182,0,-1,-0.0,0.72,18,0.72,0,2
183,1,0,0.0,0.72,18,0.72,0,2
184,2,1,-72.08388,0.8,20,0.8,0,2
185,2,1,-62.804184,0.84,21,0.84,0,2
186,1,0,0.0,0.84,21,0.84,0,2
187,0,-1,-0.0,0.84,21,0.84,0,2
188,2,1,-104.457,0.88,22,0.88,0,2
189,2,1,31.289661,1.0,25,1.0,0,2
190,2,1,-1000.0,0.0,0,0.0,0,2
191,0,-1,-0.0,0.16,4,0.16,0,3
192,0,-1,-0.0,0.16,4,0.16,0,3
193,2,1,28.346605,0.2,5,0.2,0,3
194,1,0,0.0,0.2,5,0.2,0,3
195,0,-1,-28.346605,0.16,4,0.16,0,3
196,0,-1,-0.0,0.16,4,0.16,0,3
197,0,-1,-0.0,0.16,4,0.16,0,3
198,2,1,28.346605,0.2,5,0.2,0,3
199,0,-1,-28.346605,0.16,4,0.16,0,3
200,0,-1,-0.0,0.16,4,0.16,0,3
201,0,-1,-0.0,0.16,4,0.16,0,3
202,1,0,0.0,0.16,4,0.16,0,3
203,1,0,0.0,0.16,4,0.16,0,3
204,2,1,-4.1406527,0.2,5,0.2,0,3
205,1,0,0.0,0.2,5,0.2,0,3
206,1,0,0.0,0.2,5,0.2,0,3
207,2,1,28.22638,0.24,6,0.24,0,3
208,0,-1,-28.22638,0.2,5,0.2,0,3
209,0,-1,-0.0,0.2,5,0.2,0,3
210,0,-1,4.1406527,0.16,4,0.16,0,3
211,2,1,-4.1406527,0.2,5,0.2,0,3
212,0,-1,-0.0,0.2,5,0.2,0,3
213,2,1,-4.2792473,0.24,6,0.24,0,3
214,2,1,27.98924,0.28,7,0.28,0,3
215,0,-1,4.5163865,0.24,6,0.24,0,3
216,1,0,0.0,0.24,6,0.24,0,3
217,1,0,0.0,0.24,6,0.24,0,3
218,1,0,0.0,0.24,6,0.24,0,3
219,1,0,0.0,0.24,6,0.24,0,3
220,1,0,0.0,0.24,6,0.24,0,3
221,0,-1,4.278605,0.2,5,0.2,0,3
222,1,0,0.0,0.2,5,0.2,0,3
223,1,0,0.0,0.2,5,0.2,0,3
224,0,-1,-0.0,0.2,5,0.2,0,3
225,1,0,0.0,0.2,5,0.2,0,3
226,2,1,28.208652,0.24,6,0.24,0,3
227,2,1,26.773045,0.28,7,0.28,0,3
228,2,1,13.033225,0.4,10,0.4,0,3
229,1,0,0.0,0.4,10,0.4,0,3
230,2,1,-6.520784,0.44,11,0.44,0,3
231,1,0,0.0,0.44,11,0.44,0,3
232,2,1,18.748446,0.48,12,0.48,0,3
233,2,1,15.730122,0.52,13,0.52,0,3
234,1,0,0.0,0.52,13,0.52,0,3
235,0,-1,-9.935698,0.56,14,0.56,0,3
236,2,1,-11.78675,0.6,15,0.6,0,3
237,2,1,-14.286522,0.64,16,0.64,0,3
238,2,1,-17.735939,0.68,17,0.68,0,3
239,0,-1,-22.870676,0.72,18,0.72,0,3
240,0,-1,-30.293089,0.76,19,0.76,0,3
241,0,-1,-0.0,0.76,19,0.76,0,3
242,2,1,-41.986008,0.8,20,0.8,0,3
243,2,1,-140.65213,0.88,22,0.88,0,3
244,0,-1,-0.15594989,0.88,22,0.88,0,3
245,2,1,-208.61096,0.92,23,0.92,0,3
246,2,1,-1000.0,0.0,0,0.0,0,3
247,0,-1,-0.0,0.16,4,0.16,0,4
248,2,1,-4.1407347,0.2,5,0.2,0,4
249,1,0,0.0,0.2,5,0.2,0,4
250,1,0,0.0,0.2,5,0.2,0,4
251,2,1,28.208652,0.24,6,0.24,0,4
252,2,1,23.39962,0.32,8,0.32,0,4
253,1,0,0.0,0.32,8,0.32,0,4
254,0,-1,-26.436209,0.28,7,0.28,0,4
255,0,-1,-0.0,0.28,7,0.28,0,4
256,0,-1,-27.971514,0.24,6,0.24,0,4
257,1,0,0.0,0.24,6,0.24,0,4
258,2,1,23.123543,0.32,8,0.32,1,4
259,1,0,0.0,0.32,8,0.32,0,4
260,1,0,0.0,0.32,8,0.32,0,4
