episode,total_reward,length,termination_reason,final_element_count,final_resource_usage,refine_count,coarsen_count,no_change_count,refine_pct,coarsen_pct,no_change_pct
1,-1395.5704510211945,81,Budget exceeded (post-adapt),0,0,25,27,29,0.30864197530864196,0.3333333333333333,0.35802469135802467
2,-2032.0683807209134,52,Budget exceeded (pre-action),0,0,20,18,14,0.38461538461538464,0.34615384615384615,0.2692307692307692
3,-1262.6942058181157,78,Budget exceeded (pre-action),0,0,23,34,21,0.2948717948717949,0.4358974358974359,0.2692307692307692
4,-1145.1429776400328,48,Budget exceeded (pre-action),0,0,17,21,10,0.3541666666666667,0.4375,0.20833333333333334
5,-2032.32915207115,32,Budget exceeded (post-adapt),0,0,14,6,12,0.4375,0.1875,0.375
6,-1908.75268031843,33,Budget exceeded (post-adapt),0,0,17,8,8,0.5151515151515151,0.24242424242424243,0.24242424242424243
7,-1955.9327493142564,45,Budget exceeded (pre-action),0,0,17,12,16,0.37777777777777777,0.26666666666666666,0.35555555555555557
8,-1481.0240897387266,44,Budget exceeded (post-adapt),0,0,16,10,18,0.36363636363636365,0.22727272727272727,0.4090909090909091
9,-2104.3710312843323,31,Budget exceeded (post-adapt),0,0,13,9,9,0.41935483870967744,0.2903225806451613,0.2903225806451613
10,-1922.7890928642191,34,Budget exceeded (pre-action),0,0,14,5,15,0.4117647058823529,0.14705882352941177,0.4411764705882353
11,-2021.7673903207542,62,Budget exceeded (pre-action),0,0,21,17,24,0.3387096774193548,0.27419354838709675,0.3870967741935484
12,-2032.2338369258307,37,Budget exceeded (pre-action),0,0,16,12,9,0.43243243243243246,0.32432432432432434,0.24324324324324326
13,-1050.7584092617035,22,Budget exceeded (pre-action),0,0,12,3,7,0.5454545454545454,0.13636363636363635,0.3181818181818182
14,-1876.4167152643204,50,Budget exceeded (pre-action),0,0,20,10,20,0.4,0.2,0.4
15,-1932.024579897523,33,Budget exceeded (post-adapt),0,0,15,9,9,0.45454545454545453,0.2727272727272727,0.2727272727272727
16,-1080.3760120989755,51,Budget exceeded (pre-action),0,0,17,14,20,0.3333333333333333,0.27450980392156865,0.39215686274509803
17,-1829.2770188190043,46,Budget exceeded (post-adapt),0,0,17,12,17,0.3695652173913043,0.2608695652173913,0.3695652173913043
18,-2014.430943980813,75,Budget exceeded (post-adapt),0,0,23,30,22,0.30666666666666664,0.4,0.29333333333333333
19,-1982.1373715983077,43,Budget exceeded (post-adapt),0,0,16,14,13,0.37209302325581395,0.32558139534883723,0.3023255813953488
20,-1964.5418707579374,55,Budget exceeded (pre-action),0,0,19,15,21,0.34545454545454546,0.2727272727272727,0.38181818181818183
21,-1883.0785861168988,73,Budget exceeded (pre-action),0,0,23,26,24,0.3150684931506849,0.3561643835616438,0.3287671232876712
22,-1907.4940482477905,56,Budget exceeded (pre-action),0,0,21,14,21,0.375,0.25,0.375
23,-2048.519764969802,62,Budget exceeded (pre-action),0,0,22,18,22,0.3548387096774194,0.2903225806451613,0.3548387096774194
24,-1941.8542161434889,120,Budget exceeded (post-adapt),0,0,34,46,40,0.2833333333333333,0.38333333333333336,0.3333333333333333
25,-957.7614452540874,74,Budget exceeded (pre-action),0,0,23,21,30,0.3108108108108108,0.28378378378378377,0.40540540540540543
26,-1962.6990768478427,62,Budget exceeded (post-adapt),0,0,15,23,24,0.24193548387096775,0.3709677419354839,0.3870967741935484
27,-1242.7473593104419,40,Budget exceeded (pre-action),0,0,14,11,15,0.35,0.275,0.375
28,-1923.817406641765,76,Budget exceeded (post-adapt),0,0,21,28,27,0.27631578947368424,0.3684210526315789,0.35526315789473684
29,-1958.1513309646398,70,Budget exceeded (pre-action),0,0,22,24,24,0.3142857142857143,0.34285714285714286,0.34285714285714286
30,-1310.815578823972,77,Budget exceeded (post-adapt),0,0,25,27,25,0.3246753246753247,0.35064935064935066,0.3246753246753247
31,-1984.4539048969746,73,Budget exceeded (post-adapt),0,0,24,27,22,0.3287671232876712,0.3698630136986301,0.3013698630136986
32,-1920.2425177469322,61,Budget exceeded (pre-action),0,0,19,25,17,0.3114754098360656,0.4098360655737705,0.2786885245901639
33,-1000.4398196293041,32,Budget exceeded (pre-action),0,0,12,7,13,0.375,0.21875,0.40625
