timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,1,0,0.0,0.16,4,0.16,0,0
2,0,-1,-0.0,0.16,4,0.16,0,0
3,1,0,0.0,0.16,4,0.16,0,0
4,2,1,28.346605,0.2,5,0.2,0,0
5,0,-1,-0.0,0.2,5,0.2,0,0
6,2,1,19.461393,0.28,7,0.28,0,0
7,0,-1,-0.0,0.28,7,0.28,0,0
8,1,0,0.0,0.28,7,0.28,0,0
9,1,0,0.0,0.28,7,0.28,0,0
10,2,1,27.657686,0.32,8,0.32,0,0
11,2,1,26.008978,0.36,9,0.36,0,0
12,0,-1,-26.008978,0.32,8,0.32,0,0
13,1,0,0.0,0.32,8,0.32,0,0
14,0,-1,-27.657686,0.28,7,0.28,0,0
15,2,1,-4.847297,0.32,8,0.32,0,0
16,0,-1,-23.409119,0.28,7,0.28,0,0
17,1,0,0.0,0.28,7,0.28,0,0
18,1,0,0.0,0.28,7,0.28,0,0
19,1,0,0.0,0.28,7,0.28,0,0
20,1,0,0.0,0.28,7,0.28,0,0
21,1,0,0.0,0.28,7,0.28,0,0
22,1,0,0.0,0.28,7,0.28,0,0
23,0,-1,-0.0,0.28,7,0.28,0,0
24,0,-1,4.515826,0.24,6,0.24,0,0
25,1,0,0.0,0.24,6,0.24,0,0
26,1,0,0.0,0.24,6,0.24,0,0
27,1,0,0.0,0.24,6,0.24,0,0
28,1,0,0.0,0.24,6,0.24,0,0
29,0,-1,-0.0,0.24,6,0.24,0,0
30,1,0,0.0,0.24,6,0.24,0,0
31,0,-1,4.278605,0.2,5,0.2,0,0
32,2,1,28.22638,0.24,6,0.24,0,0
33,2,1,-4.515744,0.28,7,0.28,0,0
34,2,1,-4.847379,0.32,8,0.32,0,0
35,2,1,22.976604,0.36,9,0.36,0,0
36,2,1,-5.829462,0.4,10,0.4,0,0
37,1,0,0.0,0.4,10,0.4,0,0
38,2,1,20.040491,0.44,11,0.44,0,0
39,0,-1,-25.984842,0.4,10,0.4,0,0
40,0,-1,-0.0,0.4,10,0.4,0,0
41,1,0,0.0,0.4,10,0.4,0,0
42,0,-1,5.828954,0.36,9,0.36,0,0
43,0,-1,-0.0,0.36,9,0.36,1,0
44,2,1,20.414223,0.44,11,0.44,0,0
45,2,1,9.381827,0.52,13,0.52,0,0
