timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,2,1,-2.0699894,0.2,5,0.2,0,0
2,2,1,30.366018,0.24,6,0.24,0,0
3,2,1,29.031254,0.28,7,0.28,0,0
4,2,1,25.618975,0.32,8,0.32,0,0
5,0,-1,-28.865477,0.28,7,0.28,0,0
6,0,-1,-25.784752,0.24,6,0.24,0,0
7,0,-1,2.1389658,0.2,5,0.2,0,0
8,0,-1,-0.0,0.2,5,0.2,0,0
9,0,-1,-0.0,0.2,5,0.2,0,0
10,2,1,30.348293,0.24,6,0.24,0,0
11,1,0,0.0,0.24,6,0.24,0,0
12,1,0,0.0,0.24,6,0.24,0,0
13,1,0,0.0,0.24,6,0.24,0,0
14,2,1,29.02597,0.28,7,0.28,0,0
15,2,1,25.618975,0.32,8,0.32,1,0
16,2,1,22.59218,0.36,9,0.36,0,0
17,2,1,23.599417,0.4,10,0.4,0,0
18,2,1,22.339327,0.44,11,0.44,0,0
19,1,0,0.0,0.44,11,0.44,0,0
20,2,1,20.1593,0.48,12,0.48,0,0
21,2,1,16.069632,0.52,13,0.52,0,0
22,0,-1,-26.980896,0.48,12,0.48,0,0
23,2,1,18.863983,0.52,13,0.52,0,0
24,2,1,15.909922,0.56,14,0.56,0,0
25,1,0,0.0,0.56,14,0.56,0,0
26,2,1,12.155298,0.6,15,0.6,0,0
27,1,0,0.0,0.6,15,0.6,0,0
28,1,0,0.0,0.6,15,0.6,0,0
29,1,0,0.0,0.6,15,0.6,0,0
30,0,-1,-26.543144,0.56,14,0.56,0,0
31,1,0,0.0,0.56,14,0.56,0,0
32,2,1,19.198193,0.6,15,0.6,0,0
33,0,-1,-19.706276,0.56,14,0.56,0,0
34,0,-1,-15.909922,0.52,13,0.52,0,0
35,2,1,13.773692,0.56,14,0.56,0,0
36,2,1,14.644376,0.6,15,0.6,0,0
37,2,1,9.926824,0.64,16,0.64,0,0
38,2,1,14.510329,0.68,17,0.68,1,0
39,0,-1,-0.0,0.68,17,0.68,0,0
40,1,0,0.0,0.68,17,0.68,0,0
41,0,-1,-0.0,0.68,17,0.68,0,0
42,2,1,7.380277,0.72,18,0.72,0,0
43,2,1,8.795438,0.76,19,0.76,0,0
44,0,-1,-8.312309,0.72,18,0.72,0,0
45,0,-1,-7.380277,0.68,17,0.68,0,0
46,2,1,14.272669,0.72,18,0.72,0,0
47,2,1,2.8932827,0.76,19,0.76,0,0
48,2,1,-0.44358486,0.8,20,0.8,0,0
49,1,0,0.0,0.8,20,0.8,0,0
50,1,0,0.0,0.8,20,0.8,0,0
51,1,0,0.0,0.8,20,0.8,0,0
52,2,1,-15.685439,0.84,21,0.84,0,0
53,2,1,-36.204582,0.88,22,0.88,0,0
54,2,1,-86.429565,0.92,23,0.92,1,0
55,0,-1,86.35496,0.88,22,0.88,0,0
56,1,0,0.0,0.88,22,0.88,0,0
57,2,1,-87.94203,0.92,23,0.92,0,0
58,1,0,0.0,0.92,23,0.92,0,0
59,1,0,0.0,0.92,23,0.92,0,0
60,2,1,-288.16003,0.96,24,0.96,0,0
61,0,-1,296.55276,0.92,23,0.92,0,0
62,2,1,-290.96765,0.96,24,0.96,0,0
63,2,1,15.16767,1.0,25,1.0,0,0
64,1,0,-1000.0,0.0,0,0.0,0,0
65,2,1,30.434996,0.2,5,0.2,0,1
66,1,0,0.0,0.2,5,0.2,0,1
67,2,1,29.149822,0.24,6,0.24,0,1
68,2,1,26.243086,0.28,7,0.28,1,1
69,2,1,27.108221,0.32,8,0.32,0,1
70,2,1,24.606718,0.36,9,0.36,0,1
71,2,1,22.605465,0.4,10,0.4,0,1
72,2,1,24.123903,0.44,11,0.44,0,1
73,2,1,19.645096,0.48,12,0.48,0,1
74,1,0,0.0,0.48,12,0.48,0,1
75,0,-1,-0.0,0.48,12,0.48,0,1
76,2,1,28.213463,0.52,13,0.52,0,1
77,2,1,21.774504,0.56,14,0.56,0,1
78,0,-1,-0.0,0.56,14,0.56,0,1
79,2,1,25.363804,0.6,15,0.6,0,1
80,2,1,18.83797,0.64,16,0.64,0,1
81,1,0,0.0,0.64,16,0.64,0,1
82,1,0,0.0,0.64,16,0.64,0,1
83,2,1,20.760466,0.68,17,0.68,0,1
84,2,1,13.502996,0.72,18,0.72,0,1
85,2,1,12.258874,0.76,19,0.76,0,1
86,2,1,-2.0932426,0.8,20,0.8,0,1
87,0,-1,-0.0,0.8,20,0.8,0,1
88,0,-1,-2.3480403,0.76,19,0.76,1,1
89,2,1,2.637256,0.8,20,0.8,0,1
90,2,1,-5.8407393,0.84,21,0.84,0,1
91,0,-1,7.7718315,0.8,20,0.8,0,1
92,2,1,-3.076012,0.84,21,0.84,0,1
93,0,-1,5.8732767,0.8,20,0.8,1,1
94,2,1,-7.9738655,0.84,21,0.84,0,1
95,1,0,0.0,0.84,21,0.84,0,1
96,0,-1,4.106766,0.8,20,0.8,0,1
97,2,1,-4.1225104,0.84,21,0.84,0,1
98,2,1,-27.694916,0.88,22,0.88,0,1
99,0,-1,31.310635,0.84,21,0.84,0,1
100,2,1,-28.97109,0.88,22,0.88,0,1
101,0,-1,-0.0,0.88,22,0.88,0,1
102,1,0,0.0,0.88,22,0.88,0,1
103,0,-1,-0.0,0.88,22,0.88,0,1
104,2,1,-79.7058,0.92,23,0.92,0,1
105,2,1,-286.72885,0.96,24,0.96,0,1
106,0,-1,-0.0,0.96,24,0.96,0,1
107,0,-1,286.62662,0.92,23,0.92,0,1
108,0,-1,79.7058,0.88,22,0.88,1,1
109,0,-1,24.932142,0.84,21,0.84,0,1
110,0,-1,-0.0,0.84,21,0.84,0,1
111,2,1,-23.794348,0.88,22,0.88,0,1
112,1,0,0.0,0.88,22,0.88,0,1
113,1,0,0.0,0.88,22,0.88,0,1
114,2,1,-76.31395,0.92,23,0.92,0,1
115,0,-1,-0.0,0.92,23,0.92,0,1
116,1,0,0.0,0.92,23,0.92,1,1
117,2,1,-289.09378,0.96,24,0.96,0,1
118,0,-1,-0.0,0.96,24,0.96,0,1
119,1,0,0.0,0.96,24,0.96,0,1
120,1,0,0.0,0.96,24,0.96,0,1
121,2,1,22.875776,1.0,25,1.0,0,1
122,2,1,-1000.0,0.0,0,0.0,0,1
123,1,0,0.0,0.16,4,0.16,0,2
124,0,-1,-0.0,0.16,4,0.16,1,2
125,0,-1,-0.0,0.16,4,0.16,0,2
126,2,1,30.201445,0.2,5,0.2,0,2
127,0,-1,-0.0,0.2,5,0.2,0,2
128,1,0,0.0,0.2,5,0.2,0,2
129,2,1,28.916452,0.24,6,0.24,0,2
130,1,0,0.0,0.24,6,0.24,0,2
131,1,0,0.0,0.24,6,0.24,0,2
132,1,0,0.0,0.24,6,0.24,0,2
133,2,1,26.920536,0.28,7,0.28,0,2
134,2,1,27.038544,0.32,8,0.32,0,2
135,2,1,25.154587,0.36,9,0.36,0,2
136,2,1,25.24186,0.4,10,0.4,0,2
137,2,1,23.860958,0.44,11,0.44,0,2
138,1,0,0.0,0.44,11,0.44,0,2
139,0,-1,-0.0,0.44,11,0.44,0,2
140,2,1,23.903173,0.48,12,0.48,0,2
141,0,-1,-23.425419,0.44,11,0.44,0,2
142,2,1,21.925352,0.48,12,0.48,0,2
143,1,0,0.0,0.48,12,0.48,0,2
144,1,0,0.0,0.48,12,0.48,0,2
145,2,1,21.217701,0.52,13,0.52,1,2
146,0,-1,-21.367119,0.48,12,0.48,0,2
147,2,1,22.220589,0.52,13,0.52,0,2
148,2,1,21.174654,0.56,14,0.56,0,2
149,1,0,0.0,0.56,14,0.56,0,2
150,0,-1,-23.289738,0.52,13,0.52,0,2
151,1,0,0.0,0.52,13,0.52,0,2
152,0,-1,-21.199654,0.48,12,0.48,0,2
153,2,1,19.64894,0.52,13,0.52,0,2
154,2,1,22.98033,0.56,14,0.56,1,2
155,2,1,21.20743,0.6,15,0.6,0,2
156,0,-1,-20.556765,0.56,14,0.56,0,2
157,0,-1,-0.0,0.56,14,0.56,0,2
158,0,-1,-0.0,0.56,14,0.56,0,2
159,0,-1,-23.669628,0.52,13,0.52,0,2
160,2,1,27.41759,0.56,14,0.56,0,2
