episode,total_reward,length,termination_reason,final_element_count,final_resource_usage,refine_count,coarsen_count,no_change_count,refine_pct,coarsen_pct,no_change_pct
1,-1140.0779492259026,64,Budget exceeded (pre-action),0,0,32,15,17,0.5,0.234375,0.265625
2,-1027.2876603603363,58,Budget exceeded (pre-action),0,0,30,17,11,0.5172413793103449,0.29310344827586204,0.1896551724137931
3,-1060.5457124710083,97,Budget exceeded (pre-action),0,0,37,23,37,0.38144329896907214,0.23711340206185566,0.38144329896907214
4,-1368.0275392532349,64,Budget exceeded (pre-action),0,0,27,13,24,0.421875,0.203125,0.375
5,-1054.954174041748,69,Budget exceeded (pre-action),0,0,31,21,17,0.4492753623188406,0.30434782608695654,0.2463768115942029
6,-1224.926476240158,50,Budget exceeded (pre-action),0,0,30,11,9,0.6,0.22,0.18
7,-1043.9858813285828,79,Budget exceeded (pre-action),0,0,32,22,25,0.4050632911392405,0.27848101265822783,0.31645569620253167
8,-1035.7636878490448,46,Budget exceeded (pre-action),0,0,25,6,15,0.5434782608695652,0.13043478260869565,0.32608695652173914
9,-1053.641833782196,55,Budget exceeded (pre-action),0,0,27,10,18,0.4909090909090909,0.18181818181818182,0.32727272727272727
10,-1326.44220495224,44,Budget exceeded (pre-action),0,0,27,7,10,0.6136363636363636,0.1590909090909091,0.22727272727272727
11,-1413.1326832771301,61,Budget exceeded (pre-action),0,0,31,17,13,0.5081967213114754,0.2786885245901639,0.21311475409836064
12,-1020.7920776605606,60,Budget exceeded (pre-action),0,0,26,7,27,0.43333333333333335,0.11666666666666667,0.45
13,-1097.0236141085625,53,Budget exceeded (pre-action),0,0,26,11,16,0.49056603773584906,0.20754716981132076,0.3018867924528302
14,-1403.1753076314926,33,Budget exceeded (pre-action),0,0,24,3,6,0.7272727272727273,0.09090909090909091,0.18181818181818182
15,-1576.2110629081726,57,Budget exceeded (pre-action),0,0,29,10,18,0.5087719298245614,0.17543859649122806,0.3157894736842105
16,-1147.7084176540375,43,Budget exceeded (pre-action),0,0,23,7,13,0.5348837209302325,0.16279069767441862,0.3023255813953488
17,-1054.4317477047443,55,Budget exceeded (pre-action),0,0,29,14,12,0.5272727272727272,0.2545454545454545,0.21818181818181817
18,-1036.7088842391968,48,Budget exceeded (pre-action),0,0,26,6,16,0.5416666666666666,0.125,0.3333333333333333
19,-1150.3366432189941,46,Budget exceeded (pre-action),0,0,28,8,10,0.6086956521739131,0.17391304347826086,0.21739130434782608
20,-1105.944407939911,40,Budget exceeded (pre-action),0,0,25,4,11,0.625,0.1,0.275
21,-1040.8100957870483,64,Budget exceeded (pre-action),0,0,31,16,17,0.484375,0.25,0.265625
22,-1097.4508619308472,38,Budget exceeded (pre-action),0,0,24,7,7,0.631578947368421,0.18421052631578946,0.18421052631578946
