episode,total_reward,length,termination_reason,final_element_count,final_resource_usage,refine_count,coarsen_count,no_change_count,refine_pct,coarsen_pct,no_change_pct,refinement_mode,refinement_level,refinement_probability,initial_elements,initial_resource_usage,element_growth_ratio
1,-876.2337782382965,61,Budget exceeded (post-adapt),0,0,20,22,19,0.32786885245901637,0.36065573770491804,0.3114754098360656,,,,,,
2,-1160.0387130975723,98,Budget exceeded (post-adapt),0,0,29,28,41,0.29591836734693877,0.2857142857142857,0.41836734693877553,,,,,,
3,-1235.8377220587718,44,Budget exceeded (pre-action),0,0,17,9,18,0.38636363636363635,0.20454545454545456,0.4090909090909091,,,,,,
4,-1168.7007078202905,47,Budget exceeded (pre-action),0,0,17,17,13,0.3617021276595745,0.3617021276595745,0.2765957446808511,,,,,,
5,-1813.5988949537277,42,Budget exceeded (post-adapt),0,0,17,15,10,0.40476190476190477,0.35714285714285715,0.23809523809523808,,,,,,
6,-1708.9561073444784,55,Budget exceeded (post-adapt),0,0,20,17,18,0.36363636363636365,0.3090909090909091,0.32727272727272727,,,,,,
7,-1796.794872215512,67,Budget exceeded (pre-action),0,0,21,19,27,0.31343283582089554,0.2835820895522388,0.40298507462686567,,,,,,
8,-1322.3930504322052,44,Budget exceeded (post-adapt),0,0,15,19,10,0.3409090909090909,0.4318181818181818,0.22727272727272727,,,,,,
9,-1657.9743185354305,75,Budget exceeded (post-adapt),0,0,24,32,19,0.32,0.4266666666666667,0.25333333333333335,,,,,,
10,-1186.3396719396114,73,Budget exceeded (pre-action),0,0,21,25,27,0.2876712328767123,0.3424657534246575,0.3698630136986301,,,,,,
11,-912.1100133135915,41,Budget exceeded (pre-action),0,0,15,12,14,0.36585365853658536,0.2926829268292683,0.34146341463414637,,,,,,
12,-1801.2072523236275,42,Budget exceeded (pre-action),0,0,19,9,14,0.4523809523809524,0.21428571428571427,0.3333333333333333,,,,,,
13,-929.5805133581161,31,Budget exceeded (pre-action),0,0,14,5,12,0.45161290322580644,0.16129032258064516,0.3870967741935484,,,,,,
14,-1454.0158962131754,80,Budget exceeded (post-adapt),0,0,26,29,25,0.325,0.3625,0.3125,,,,,,
15,-1904.079342227662,34,Budget exceeded (pre-action),0,0,12,14,8,0.35294117647058826,0.4117647058823529,0.23529411764705882,,,,,,
16,-838.7650739613118,30,Budget exceeded (pre-action),0,0,12,11,7,0.4,0.36666666666666664,0.23333333333333334,,,,,,
17,-1837.3075110912323,31,Budget exceeded (pre-action),0,0,15,8,8,0.4838709677419355,0.25806451612903225,0.25806451612903225,,,,,,
18,-1728.5329986872384,66,Budget exceeded (pre-action),0,0,18,28,20,0.2727272727272727,0.42424242424242425,0.30303030303030304,,,,,,
19,-1747.6990573620424,56,Budget exceeded (post-adapt),0,0,19,20,17,0.3392857142857143,0.35714285714285715,0.30357142857142855,,,,,,
20,-1072.686718262732,50,Budget exceeded (post-adapt),0,0,20,18,12,0.4,0.36,0.24,,,,,,
21,-1857.2557883263758,42,Budget exceeded (pre-action),0,0,19,11,12,0.4523809523809524,0.2619047619047619,0.2857142857142857,,,,,,
22,-1665.6491382420063,74,Budget exceeded (post-adapt),0,0,26,29,19,0.35135135135135137,0.3918918918918919,0.25675675675675674,,,,,,
23,-937.6409557163715,52,Budget exceeded (post-adapt),0,0,22,13,17,0.4230769230769231,0.25,0.3269230769230769,,,,,,
24,-1511.7629256684668,78,Budget exceeded (post-adapt),0,0,26,26,26,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,
25,-1836.3569624494994,54,Budget exceeded (post-adapt),0,0,20,17,17,0.37037037037037035,0.3148148148148148,0.3148148148148148,,,,,,
26,-1943.9735112978378,37,Budget exceeded (pre-action),0,0,16,7,14,0.43243243243243246,0.1891891891891892,0.3783783783783784,,,,,,
27,-1588.9388749865902,96,Budget exceeded (pre-action),0,0,28,43,25,0.2916666666666667,0.4479166666666667,0.2604166666666667,,,,,,
28,-1707.6562593579292,44,Budget exceeded (pre-action),0,0,21,12,11,0.4772727272727273,0.2727272727272727,0.25,,,,,,
29,-1834.9476307332516,53,Budget exceeded (pre-action),0,0,19,11,23,0.3584905660377358,0.20754716981132076,0.4339622641509434,,,,,,
30,-1745.4423308195546,51,Budget exceeded (post-adapt),0,0,22,11,18,0.43137254901960786,0.21568627450980393,0.35294117647058826,,,,,,
31,-1714.50532913208,47,Budget exceeded (pre-action),0,0,19,17,11,0.40425531914893614,0.3617021276595745,0.23404255319148937,,,,,,
32,-1739.4466022647684,49,Budget exceeded (pre-action),0,0,16,15,18,0.32653061224489793,0.30612244897959184,0.3673469387755102,,,,,,
33,-1266.2319740707994,24,Budget exceeded (post-adapt),0,0,12,6,6,0.5,0.25,0.25,,,,,,
34,-1035.2745916088898,58,Budget exceeded (pre-action),0,0,16,20,22,0.27586206896551724,0.3448275862068966,0.3793103448275862,,,,,,
35,-1301.6446724165166,84,Budget exceeded (post-adapt),0,0,21,38,25,0.25,0.4523809523809524,0.2976190476190476,,,,,,
36,-1136.8107916270674,53,Budget exceeded (pre-action),0,0,19,16,18,0.3584905660377358,0.3018867924528302,0.33962264150943394,,,,,,
37,-1535.1934066989925,48,Budget exceeded (pre-action),0,0,17,16,15,0.3541666666666667,0.3333333333333333,0.3125,,,,,,
38,-1561.607448635606,92,Budget exceeded (post-adapt),0,0,27,41,24,0.29347826086956524,0.44565217391304346,0.2608695652173913,,,,,,
39,-1862.3765314961784,32,Budget exceeded (post-adapt),0,0,14,12,6,0.4375,0.375,0.1875,,,,,,
40,-1936.9415773434139,35,Budget exceeded (post-adapt),0,0,11,18,6,0.3142857142857143,0.5142857142857142,0.17142857142857143,,,,,,
41,-1603.9317376785912,97,Budget exceeded (pre-action),0,0,28,40,29,0.28865979381443296,0.41237113402061853,0.29896907216494845,,,,,,
42,-598.8739729595143,139,Budget exceeded (post-adapt),0,0,34,66,39,0.2446043165467626,0.4748201438848921,0.2805755395683453,,,,,,
