episode,total_reward,length,termination_reason,final_element_count,final_resource_usage,refine_count,coarsen_count,no_change_count,refine_pct,coarsen_pct,no_change_pct,refinement_mode,refinement_level,refinement_probability,initial_elements,initial_resource_usage,element_growth_ratio
1,-1256.6273443698883,32,Budget exceeded (pre-action),0,0,15,9,8,0.46875,0.28125,0.25,,,,,,
2,-1630.9419558062218,60,Budget exceeded (pre-action),0,0,22,19,19,0.36666666666666664,0.31666666666666665,0.31666666666666665,,,,,,
3,-1130.4950023889542,44,Budget exceeded (pre-action),0,0,21,12,11,0.4772727272727273,0.2727272727272727,0.25,,,,,,
4,-1954.2983508110046,47,Budget exceeded (post-adapt),0,0,19,14,14,0.40425531914893614,0.2978723404255319,0.2978723404255319,,,,,,
5,-1804.2895258560147,66,Budget exceeded (pre-action),0,0,19,20,27,0.2878787878787879,0.30303030303030304,0.4090909090909091,,,,,,
6,-1522.1759519577026,33,Budget exceeded (pre-action),0,0,14,8,11,0.42424242424242425,0.24242424242424243,0.3333333333333333,,,,,,
7,-1908.6656754016876,37,Budget exceeded (post-adapt),0,0,16,9,12,0.43243243243243246,0.24324324324324326,0.32432432432432434,,,,,,
8,-1812.0814931392672,49,Budget exceeded (pre-action),0,0,23,11,15,0.46938775510204084,0.22448979591836735,0.30612244897959184,,,,,,
9,-1805.2196332587882,46,Budget exceeded (post-adapt),0,0,18,18,10,0.391304347826087,0.391304347826087,0.21739130434782608,,,,,,
10,-943.4188323020935,42,Budget exceeded (pre-action),0,0,17,10,15,0.40476190476190477,0.23809523809523808,0.35714285714285715,,,,,,
11,-890.2725448166311,70,Budget exceeded (pre-action),0,0,25,25,20,0.35714285714285715,0.35714285714285715,0.2857142857142857,,,,,,
12,-804.6658139824867,79,Budget exceeded (pre-action),0,0,26,25,28,0.3291139240506329,0.31645569620253167,0.35443037974683544,,,,,,
13,-1385.6360577530577,39,Budget exceeded (post-adapt),0,0,13,18,8,0.3333333333333333,0.46153846153846156,0.20512820512820512,,,,,,
14,-1257.0083114396834,48,Budget exceeded (post-adapt),0,0,18,15,15,0.375,0.3125,0.3125,,,,,,
15,-1998.4590184763074,39,Budget exceeded (pre-action),0,0,13,10,16,0.3333333333333333,0.2564102564102564,0.41025641025641024,,,,,,
16,-1056.496900739483,83,Budget exceeded (post-adapt),0,0,22,32,29,0.26506024096385544,0.3855421686746988,0.3493975903614458,,,,,,
17,33.18648584584935,161,Budget exceeded (pre-action),0,0,41,77,43,0.2546583850931677,0.4782608695652174,0.2670807453416149,,,,,,
18,1932.5375325769614,200,Maximum episode steps reached,0,0,40,100,60,0.2,0.5,0.3,,,,,,
19,-1503.2550817319402,93,Budget exceeded (pre-action),0,0,29,33,31,0.3118279569892473,0.3548387096774194,0.3333333333333333,,,,,,
20,-223.68142688401804,147,Budget exceeded (post-adapt),0,0,36,67,44,0.24489795918367346,0.4557823129251701,0.29931972789115646,,,,,,
21,-1011.148305860348,76,Budget exceeded (pre-action),0,0,20,28,28,0.2631578947368421,0.3684210526315789,0.3684210526315789,,,,,,
22,-1176.8974594973552,58,Budget exceeded (pre-action),0,0,21,24,13,0.3620689655172414,0.41379310344827586,0.22413793103448276,,,,,,
23,-1689.4727695725305,92,Budget exceeded (pre-action),0,0,28,42,22,0.30434782608695654,0.45652173913043476,0.2391304347826087,,,,,,
24,1529.6263849787388,175,Budget exceeded (pre-action),0,0,37,91,47,0.21142857142857144,0.52,0.26857142857142857,,,,,,
25,-1725.0127538779489,56,Budget exceeded (pre-action),0,0,20,23,13,0.35714285714285715,0.4107142857142857,0.23214285714285715,,,,,,
26,-1020.0534681089387,158,Budget exceeded (pre-action),0,0,40,88,30,0.25316455696202533,0.5569620253164557,0.189873417721519,,,,,,
27,-1762.62817536086,112,Budget exceeded (pre-action),0,0,26,56,30,0.23214285714285715,0.5,0.26785714285714285,,,,,,
28,-711.6756214007157,156,Budget exceeded (post-adapt),0,0,35,85,36,0.22435897435897437,0.5448717948717948,0.23076923076923078,,,,,,
29,412.80992480905115,200,Maximum episode steps reached,0,0,34,126,40,0.17,0.63,0.2,,,,,,
30,626.0221388665959,200,Maximum episode steps reached,0,0,52,97,51,0.26,0.485,0.255,,,,,,
31,-892.8261029344674,111,Budget exceeded (post-adapt),0,0,24,54,33,0.21621621621621623,0.4864864864864865,0.2972972972972973,,,,,,
32,621.766938218595,200,Maximum episode steps reached,0,0,41,116,43,0.205,0.58,0.215,,,,,,
33,-1760.8052486524998,64,Budget exceeded (post-adapt),0,0,21,29,14,0.328125,0.453125,0.21875,,,,,,
34,-928.7217070840643,58,Budget exceeded (pre-action),0,0,20,22,16,0.3448275862068966,0.3793103448275862,0.27586206896551724,,,,,,
35,-1133.2861828144373,36,Budget exceeded (pre-action),0,0,16,13,7,0.4444444444444444,0.3611111111111111,0.19444444444444445,,,,,,
36,-554.9225181648508,79,Budget exceeded (pre-action),0,0,28,34,17,0.35443037974683544,0.43037974683544306,0.21518987341772153,,,,,,
37,-236.33684435287353,128,Budget exceeded (pre-action),0,0,33,75,20,0.2578125,0.5859375,0.15625,,,,,,
38,-891.6280641307821,91,Budget exceeded (pre-action),0,0,27,43,21,0.2967032967032967,0.4725274725274725,0.23076923076923078,,,,,,
