timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,0,-1,-0.0,0.16,4,0.16,0,0
2,2,1,-4.1406527,0.2,5,0.2,0,0
3,2,1,28.208652,0.24,6,0.24,0,0
4,1,0,0.0,0.24,6,0.24,0,0
5,2,1,18.8927,0.32,8,0.32,1,0
6,2,1,12.866788,0.36,9,0.36,0,0
7,2,1,3.757988,0.44,11,0.44,0,0
8,1,0,0.0,0.44,11,0.44,0,0
9,1,0,0.0,0.44,11,0.44,0,0
10,1,0,0.0,0.44,11,0.44,0,0
11,1,0,0.0,0.44,11,0.44,0,0
12,0,-1,-0.0,0.44,11,0.44,0,0
13,2,1,6.9447885,0.56,14,0.56,1,0
14,2,1,2.8808975,0.6,15,0.6,0,0
15,0,-1,-0.0,0.6,15,0.6,0,0
16,0,-1,3.652157,0.56,14,0.56,0,0
17,1,0,0.0,0.56,14,0.56,0,0
18,2,1,14.857576,0.6,15,0.6,0,0
19,2,1,5.1400676,0.64,16,0.64,0,0
20,0,-1,-31.180933,0.68,17,0.68,0,0
21,0,-1,-35.06758,0.72,18,0.72,0,0
22,2,1,-5.969195,0.76,19,0.76,0,0
23,2,1,-13.901791,0.8,20,0.8,0,0
24,2,1,-34.430233,0.84,21,0.84,0,0
25,0,-1,80.0193,0.8,20,0.8,0,0
26,1,0,0.0,0.8,20,0.8,0,0
27,2,1,-142.21468,0.88,22,0.88,0,0
28,0,-1,-0.0,0.88,22,0.88,0,0
29,1,0,0.0,0.88,22,0.88,0,0
30,2,1,-191.4397,0.92,23,0.92,0,0
31,2,1,24.496496,1.0,25,1.0,1,0
32,0,-1,-1000.0,0.0,0,0.0,0,0
33,2,1,-4.1407347,0.2,5,0.2,0,1
34,1,0,0.0,0.2,5,0.2,0,1
35,2,1,-4.278605,0.24,6,0.24,0,1
36,0,-1,-0.0,0.24,6,0.24,0,1
37,2,1,-4.5163865,0.28,7,0.28,0,1
38,0,-1,-0.0,0.28,7,0.28,0,1
39,0,-1,-0.0,0.28,7,0.28,0,1
40,0,-1,-0.0,0.28,7,0.28,0,1
41,1,0,0.0,0.28,7,0.28,0,1
42,1,0,0.0,0.28,7,0.28,0,1
43,0,-1,-0.0,0.28,7,0.28,0,1
44,1,0,0.0,0.28,7,0.28,0,1
45,2,1,27.639961,0.32,8,0.32,0,1
46,0,-1,7.2716603,0.28,7,0.28,0,1
47,1,0,0.0,0.28,7,0.28,1,1
48,1,0,0.0,0.28,7,0.28,0,1
49,2,1,11.863978,0.32,8,0.32,0,1
50,2,1,21.394747,0.4,10,0.4,0,1
51,2,1,24.681492,0.44,11,0.44,1,1
52,1,0,0.0,0.44,11,0.44,0,1
53,0,-1,-2.8193302,0.4,10,0.4,0,1
54,2,1,21.646786,0.44,11,0.44,0,1
55,1,0,0.0,0.44,11,0.44,0,1
56,1,0,0.0,0.44,11,0.44,1,1
57,0,-1,-1.4749178,0.4,10,0.4,0,1
58,1,0,0.0,0.4,10,0.4,0,1
59,1,0,0.0,0.4,10,0.4,0,1
60,0,-1,-5.4870553,0.36,9,0.36,0,1
61,2,1,19.17995,0.44,11,0.44,0,1
62,2,1,3.1538255,0.56,14,0.56,0,1
63,1,0,0.0,0.56,14,0.56,0,1
64,0,-1,-14.627002,0.56,14,0.56,1,1
65,2,1,14.353898,0.6,15,0.6,0,1
66,0,-1,-15.331139,0.6,15,0.6,0,1
67,1,0,0.0,0.6,15,0.6,0,1
68,0,-1,3.2814755,0.56,14,0.56,0,1
69,1,0,0.0,0.56,14,0.56,0,1
70,2,1,15.349903,0.6,15,0.6,0,1
71,2,1,9.956789,0.64,16,0.64,0,1
72,2,1,-10.871717,0.72,18,0.72,0,1
73,2,1,-4.2672706,0.76,19,0.76,0,1
74,0,-1,30.537973,0.72,18,0.72,0,1
75,1,0,0.0,0.72,18,0.72,0,1
76,1,0,0.0,0.72,18,0.72,0,1
77,0,-1,20.94334,0.68,17,0.68,0,1
78,1,0,0.0,0.68,17,0.68,1,1
79,2,1,1.3652558,0.72,18,0.72,0,1
80,2,1,-107.67712,0.84,21,0.84,0,1
81,2,1,-290.81174,0.92,23,0.92,0,1
82,0,-1,298.19385,0.88,22,0.88,0,1
83,0,-1,144.66496,0.84,21,0.84,0,1
84,0,-1,-0.0012274995,0.84,21,0.84,0,1
85,1,0,0.0,0.84,21,0.84,0,1
86,2,1,-79.782135,0.88,22,0.88,0,1
87,2,1,-185.05775,0.92,23,0.92,0,1
88,1,0,0.0,0.92,23,0.92,0,1
89,0,-1,-0.0,0.92,23,0.92,0,1
90,2,1,-605.524,0.96,24,0.96,0,1
91,2,1,30.246313,1.0,25,1.0,0,1
92,0,-1,-1000.0,0.0,0,0.0,0,1
93,1,0,0.0,0.16,4,0.16,0,2
94,2,1,-4.1407347,0.2,5,0.2,0,2
95,1,0,0.0,0.2,5,0.2,0,2
96,2,1,23.692236,0.28,7,0.28,0,2
97,2,1,23.409119,0.32,8,0.32,0,2
98,1,0,0.0,0.32,8,0.32,0,2
99,2,1,27.225174,0.36,9,0.36,0,2
100,1,0,0.0,0.36,9,0.36,0,2
101,2,1,-5.8295894,0.4,10,0.4,0,2
102,2,1,-6.520809,0.44,11,0.44,0,2
103,1,0,0.0,0.44,11,0.44,0,2
104,0,-1,-4.347322,0.4,10,0.4,0,2
105,0,-1,8.744438,0.36,9,0.36,0,2
106,2,1,25.459835,0.4,10,0.4,0,2
107,0,-1,-6.9002895,0.36,9,0.36,0,2
108,2,1,15.692518,0.44,11,0.44,0,2
109,2,1,20.865192,0.48,12,0.48,0,2
110,2,1,12.874921,0.56,14,0.56,0,2
111,2,1,0.5356077,0.64,16,0.64,0,2
112,0,-1,8.125266,0.6,15,0.6,0,2
113,0,-1,3.5518293,0.56,14,0.56,0,2
114,0,-1,14.882941,0.52,13,0.52,0,2
115,2,1,4.900119,0.6,15,0.6,0,2
116,2,1,-14.286522,0.64,16,0.64,0,2
117,0,-1,8.35962,0.6,15,0.6,0,2
118,1,0,0.0,0.6,15,0.6,0,2
119,2,1,14.2147665,0.64,16,0.64,0,2
120,1,0,0.0,0.64,16,0.64,1,2
121,2,1,10.571487,0.68,17,0.68,0,2
122,1,0,0.0,0.68,17,0.68,0,2
123,2,1,-63.49773,0.8,20,0.8,0,2
124,1,0,0.0,0.8,20,0.8,0,2
125,0,-1,48.710052,0.76,19,0.76,0,2
126,0,-1,37.017376,0.72,18,0.72,0,2
127,2,1,-30.09787,0.76,19,0.76,0,2
128,0,-1,45.146843,0.72,18,0.72,0,2
129,0,-1,-38.227394,0.76,19,0.76,0,2
130,2,1,-76.32078,0.84,21,0.84,0,2
131,1,0,0.0,0.84,21,0.84,0,2
132,1,0,0.0,0.84,21,0.84,0,2
133,2,1,-77.83349,0.88,22,0.88,0,2
134,2,1,-182.7311,0.92,23,0.92,0,2
135,2,1,26.259277,1.0,25,1.0,0,2
136,0,-1,-1000.0,0.0,0,0.0,0,2
137,0,-1,-0.0,0.16,4,0.16,0,3
138,2,1,28.364332,0.2,5,0.2,0,3
139,1,0,0.0,0.2,5,0.2,0,3
140,2,1,-4.278605,0.24,6,0.24,0,3
141,0,-1,-9.833911,0.2,5,0.2,0,3
142,2,1,-4.2792473,0.24,6,0.24,0,3
143,1,0,0.0,0.24,6,0.24,0,3
144,2,1,-4.516412,0.28,7,0.28,0,3
145,1,0,0.0,0.28,7,0.28,0,3
146,2,1,27.639961,0.32,8,0.32,0,3
147,0,-1,-0.0,0.32,8,0.32,0,3
148,1,0,0.0,0.32,8,0.32,0,3
149,0,-1,7.271953,0.28,7,0.28,0,3
150,0,-1,6.774611,0.24,6,0.24,0,3
151,0,-1,-0.0,0.24,6,0.24,0,3
152,2,1,23.14127,0.32,8,0.32,0,3
153,1,0,0.0,0.32,8,0.32,0,3
154,1,0,0.0,0.32,8,0.32,0,3
155,1,0,0.0,0.32,8,0.32,0,3
156,0,-1,-8.97201,0.28,7,0.28,0,3
157,2,1,-10.128417,0.36,9,0.36,0,3
158,0,-1,-5.9438734,0.4,10,0.4,0,3
159,2,1,-6.5208097,0.44,11,0.44,0,3
160,2,1,-7.391896,0.48,12,0.48,1,3
161,1,0,0.0,0.48,12,0.48,0,3
162,0,-1,11.087554,0.44,11,0.44,0,3
163,0,-1,-0.0,0.44,11,0.44,0,3
164,1,0,0.0,0.44,11,0.44,0,3
165,2,1,6.925679,0.56,14,0.56,0,3
166,1,0,0.0,0.56,14,0.56,1,3
167,1,0,0.0,0.56,14,0.56,0,3
168,2,1,2.906827,0.64,16,0.64,0,3
169,1,0,0.0,0.64,16,0.64,0,3
170,2,1,-12.884151,0.68,17,0.68,0,3
171,0,-1,-23.273943,0.72,18,0.72,0,3
172,0,-1,19.75349,0.68,17,0.68,1,3
173,1,0,0.0,0.68,17,0.68,0,3
174,2,1,-16.594421,0.72,18,0.72,0,3
175,0,-1,24.274021,0.68,17,0.68,0,3
176,2,1,5.830716,0.72,18,0.72,0,3
177,2,1,-3.9597855,0.76,19,0.76,1,3
178,2,1,-78.26943,0.84,21,0.84,0,3
179,2,1,-99.91758,0.88,22,0.88,0,3
180,0,-1,-222.16736,0.92,23,0.92,0,3
181,1,0,0.0,0.92,23,0.92,0,3
182,2,1,-599.3369,0.96,24,0.96,0,3
183,2,1,-1000.0,0.0,0,0.0,0,3
184,2,1,28.364332,0.2,5,0.2,1,4
185,1,0,0.0,0.2,5,0.2,0,4
186,1,0,0.0,0.2,5,0.2,0,4
187,0,-1,-10.069473,0.16,4,0.16,0,4
188,0,-1,-0.0,0.16,4,0.16,0,4
189,2,1,28.348404,0.2,5,0.2,0,4
190,0,-1,-0.0,0.2,5,0.2,0,4
191,1,0,0.0,0.2,5,0.2,1,4
192,1,0,0.0,0.2,5,0.2,0,4
193,2,1,24.412537,0.24,6,0.24,0,4
194,1,0,0.0,0.24,6,0.24,0,4
195,2,1,23.936615,0.28,7,0.28,0,4
196,1,0,0.0,0.28,7,0.28,0,4
197,0,-1,-0.001817432,0.28,7,0.28,0,4
198,2,1,16.665165,0.4,10,0.4,0,4
199,1,0,0.0,0.4,10,0.4,0,4
200,2,1,15.2310095,0.48,12,0.48,0,4
201,1,0,0.0,0.48,12,0.48,0,4
202,2,1,10.309237,0.56,14,0.56,0,4
203,1,0,0.0,0.56,14,0.56,0,4
204,0,-1,-0.0016013941,0.56,14,0.56,0,4
205,0,-1,-0.017192174,0.56,14,0.56,0,4
206,2,1,1.0661546,0.64,16,0.64,0,4
207,2,1,13.3201685,0.68,17,0.68,0,4
208,1,0,0.0,0.68,17,0.68,0,4
209,1,0,0.0,0.68,17,0.68,0,4
210,1,0,0.0,0.68,17,0.68,1,4
211,0,-1,11.083285,0.64,16,0.64,0,4
212,0,-1,-0.0,0.64,16,0.64,0,4
213,0,-1,-0.0,0.64,16,0.64,0,4
214,0,-1,7.767928,0.6,15,0.6,0,4
215,1,0,0.0,0.6,15,0.6,0,4
216,1,0,0.0,0.6,15,0.6,0,4
217,0,-1,-0.0,0.6,15,0.6,0,4
218,0,-1,-13.46937,0.6,15,0.6,0,4
219,1,0,0.0,0.6,15,0.6,1,4
220,2,1,7.4762383,0.64,16,0.64,0,4
221,1,0,0.0,0.64,16,0.64,0,4
222,1,0,0.0,0.64,16,0.64,0,4
223,0,-1,-0.0,0.64,16,0.64,0,4
224,1,0,0.0,0.64,16,0.64,0,4
225,0,-1,10.5484085,0.6,15,0.6,0,4
226,2,1,-7.4493423,0.68,17,0.68,0,4
227,1,0,0.0,0.68,17,0.68,0,4
228,1,0,0.0,0.68,17,0.68,0,4
229,1,0,0.0,0.68,17,0.68,0,4
230,2,1,-1.1551399,0.72,18,0.72,0,4
231,2,1,-50.292114,0.8,20,0.8,0,4
232,2,1,-44.410248,0.84,21,0.84,0,4
233,0,-1,-13.637486,0.84,21,0.84,0,4
234,1,0,0.0,0.84,21,0.84,0,4
235,0,-1,-6.9514917e-06,0.84,21,0.84,0,4
236,2,1,-85.56328,0.88,22,0.88,1,4
237,1,0,0.0,0.88,22,0.88,0,4
238,1,0,0.0,0.88,22,0.88,0,4
239,0,-1,-0.0,0.88,22,0.88,0,4
240,2,1,-181.07762,0.92,23,0.92,0,4
241,1,0,0.0,0.92,23,0.92,0,4
242,2,1,-598.23364,0.96,24,0.96,0,4
243,0,-1,-0.0,0.96,24,0.96,0,4
244,0,-1,-0.0,0.96,24,0.96,0,4
245,1,0,0.0,0.96,24,0.96,0,4
246,1,0,0.0,0.96,24,0.96,0,4
247,0,-1,-13.983896,0.96,24,0.96,0,4
248,2,1,16.543222,1.0,25,1.0,0,4
249,2,1,-1000.0,0.0,0,0.0,0,4
250,0,-1,-0.0,0.16,4,0.16,0,5
251,1,0,0.0,0.16,4,0.16,0,5
252,1,0,0.0,0.16,4,0.16,0,5
253,0,-1,-0.0,0.16,4,0.16,0,5
254,2,1,-4.1407347,0.2,5,0.2,0,5
255,2,1,23.692236,0.28,7,0.28,0,5
256,2,1,-10.12841,0.36,9,0.36,0,5
257,1,0,0.0,0.36,9,0.36,0,5
258,0,-1,-0.0,0.36,9,0.36,0,5
259,2,1,8.51475,0.48,12,0.48,0,5
